;Departamentos (Sector Alto): Barranco, La Molina, Miraflores, San Borja, San Isidro y Surco - Precios por m2 (S/ Corrientes);Departamentos (Sector Medio): Jesús María, Lince, Magdalena, Pueblo Libre, San Miguel y Surquillo - Precios por m2 (S/ Corrientes)
T212;n.d.;n.d.
T312;n.d.;n.d.
T412;n.d.;n.d.
T113;4659.148067;3261.157455
T213;4956.295807;3570.370318
T313;5255.946323;3936.531573
T413;5157.30393;4004.031798
T114;5572.610135;4111.227878
T214;5879.091179;4087.188384
T314;5470.194848;4133.105561
T414;5561.915829;4290.163268
T115;5946.596042;4423.689098
T215;6011.217133;4420.930125
T315;6065.826023;4704.026068
T415;6254.672102;4680.418125
T116;6502.151156;4888.201816
T216;6091.864088;4689.177984
T316;6463.168686;4909.958198
T416;6576.978005;4883.65022
T117;6504.746721;4833.034833
T217;6371.636744;4793.376179
T317;6332.269533;4927.447629
T417;6130.747623;4822.666387
T118;6107.610066;4982.933286
T218;6065.948691;5013.770656
T318;6233.575738;5145.955037
T418;6481.94218;5213.301272
T119;6409.186943;5177.180102
T219;6536.898515;5302.083993
T319;6477.879066;5349.492198
T419;6452.784806;5310.433819
T120;6527.404886;5417.220818
T220;6827.794626;5445.127846
T320;6964.55641;5682.461463
T420;7126.933442;5818.534184
T121;7159.878127;6009.206675
T221;7415.967678;6035.088323
T321;7894.597829;6453.99544
T421;7580.163874;6373.70929
T122;7165.637292;6317.652552
T222;7308.018716;6095.230702
T322;7455.309649;6357.713716
T422;7552.923101;6351.935815
T123;7345.623094;6184.800802
T223;7177.091919;6114.757566
T323;7125.272651;6214.630855
T423;7452.802681;6325.264432
T124;7206.884848;6291.101425
T224;7328.528445;6276.950986
